offizielle Feiertage:
--------------------

Neujahr:							01.01.
Heilige Drei Koenig:				06.01.
Karfreitag:							Ostersonntag - 2
Ostersonntag:						Sonntag nach erstem Frühlingsvollmond
Ostermontag:						Ostersonntag + 1
Maifeiertag:						01.05.
Christi Himmelfahrt:				Ostersonntag + 39
Pfingstsonntag:						Ostersonntag + 49
Pfingstmontag:						Pfingstsonntag + 1
Fronleichnam:						Pfingstsonntag + 11
Mariae Himmelfahrt:					15.08.
Tag der deutschen Einheit:			03.10.
Allerheiligen:						01.11.
1. Weihnachtsfeiertag:				25.12.
2. Weihnachtsfeiertag:				26.12.



inoffizielle Feiertage:
----------------------
Valentinstag:						14.02.
Unsinniger Donnerstag:				Donnerstag vor Aschermittwoch
Rosenmontag:						Ostersonntag - 48
Fastnacht:							Ostersonntag - 47
Aschermittwoch:						Ostersonntag - 46
Gruendonnerstag:					Ostersonntag - 3
Karsamstag:							Ostersonntag - 1
Palmsonntag:						Ostersonntag - 7
Europatag:							05.05.
Europatag:							09.05.
Muttertag:							2. Sonntag im Mai
Erntedankfest:						1. Sonntag im Oktober
Allerseelen:						02.11.
Volkstrauertag:						1. Advent - 14
Buss- und Bettag:					1. Advent - 11
Totensonntag:						1. Advent - 7
Nikolaus:							06.12.
1. Advent:							2. Advent - 7
2. Advent:							3. Advent - 7
3. Advent:							4. Advent - 7
4. Advent:							Sonntag vor 1. Weihnachtsfeiertag
Heiligabend:						24.12.
Silvester:							31.12.



Unifeiertage:
-------------
Dies Academicus:					03.12.

